Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition,Playing Time_90s
90,Moritz Nicolas,GER,GK,M'Gladbach,de Bundesliga,26-079,1997,14,14,1260,14.0,2.0,2.0,6.36,4.36,73.0,0.29,0.29,0.43,0.07,7.1,0.29,0.29,0.0,0.0,0.0,https://fbref.com/en/players/226ddf9d/Moritz-Nicolas,226ddf9d,Big 5 combined,
91,Alexander Nübel,GER,GK,Stuttgart,de Bundesliga,27-100,1996,16,16,1440,16.0,1.19,1.19,3.94,2.88,71.4,0.69,0.06,0.25,0.38,37.5,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/afb0c500/Alexander-Nubel,afb0c500,Big 5 combined,
92,Ørjan Nyland,NOR,GK,Sevilla,es La Liga,33-120,1990,7,7,630,7.0,1.14,1.14,3.29,2.29,69.6,0.14,0.71,0.14,0.14,14.3,0.14,0.14,0.0,0.0,0.0,https://fbref.com/en/players/bdedffac/Orjan-Nyland,bdedffac,Big 5 combined,
93,Jan Oblak,SVN,GK,Atlético Madrid,es La Liga,31-001,1993,19,19,1710,19.0,1.21,1.21,4.21,3.0,72.5,0.63,0.11,0.26,0.32,31.6,0.11,0.05,0.0,0.05,0.0,https://fbref.com/en/players/ee8508c0/Jan-Oblak,ee8508c0,Big 5 combined,
94,Guillermo Ochoa,MEX,GK,Salernitana,it Serie A,38-179,1985,11,11,990,11.0,2.0,2.0,5.55,3.55,68.9,0.0,0.36,0.64,0.0,0.0,0.27,0.27,0.0,0.0,0.0,https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa,1e9bde92,Big 5 combined,
95,Maduka Okoye,NGA,GK,Udinese,it Serie A,24-133,1999,2,2,180,2.0,1.0,1.0,3.5,2.5,71.4,0.5,0.0,0.5,0.5,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/ab5c36dd/Maduka-Okoye,ab5c36dd,Big 5 combined,
96,Robin Olsen,SWE,GK,Aston Villa,eng Premier League,34-000,1990,1,1,90,1.0,1.0,1.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/e7ee38c3/Robin-Olsen,e7ee38c3,Big 5 combined,
97,Jonas Omlin,SUI,GK,M'Gladbach,de Bundesliga,29-363,1994,2,2,180,2.0,3.5,3.5,9.0,5.5,66.7,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,https://fbref.com/en/players/c631f952/Jonas-Omlin,c631f952,Big 5 combined,
98,André Onana,CMR,GK,Manchester Utd,eng Premier League,27-281,1996,20,20,1800,20.0,1.35,1.35,4.75,3.45,73.7,0.5,0.05,0.45,0.3,30.0,0.1,0.1,0.0,0.0,0.0,https://fbref.com/en/players/e9c0c1b2/Andre-Onana,e9c0c1b2,Big 5 combined,
99,Stefan Ortega,GER,GK,Manchester City,eng Premier League,31-063,1992,1,1,90,1.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/c1242d4e/Stefan-Ortega,c1242d4e,Big 5 combined,
100,Alexandre Oukidja,ALG,GK,Metz,fr Ligue 1,35-173,1988,17,17,1457,16.2,1.6,1.61,5.62,4.01,72.5,0.25,0.25,0.56,0.19,17.6,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/ae7d0ecd/Alexandre-Oukidja,ae7d0ecd,Big 5 combined,
101,Rui Patrício,POR,GK,Roma,it Serie A,35-327,1988,19,19,1710,19.0,1.11,1.11,2.89,1.84,65.5,0.42,0.26,0.32,0.26,26.3,0.11,0.11,0.0,0.0,0.0,https://fbref.com/en/players/79b0d6a0/Rui-Patricio,79b0d6a0,Big 5 combined,
102,Jiří Pavlenka,CZE,GK,Werder Bremen,de Bundesliga,31-269,1992,7,7,630,7.0,2.43,2.43,5.43,3.0,60.5,0.29,0.0,0.71,0.14,14.3,0.29,0.29,0.0,0.0,0.0,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,0a1cb833,Big 5 combined,
103,Iñaki Peña,ESP,GK,Barcelona,es La Liga,24-312,1999,6,6,540,6.0,1.5,1.5,4.33,2.83,65.4,0.5,0.33,0.17,0.17,16.7,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/cc1c5035/Inaki-Pena,cc1c5035,Big 5 combined,
104,Mattia Perin,ITA,GK,Juventus,it Serie A,31-059,1992,2,2,180,2.0,0.5,0.5,2.0,1.5,75.0,0.5,0.5,0.0,0.5,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/4c62d0c8/Mattia-Perin,4c62d0c8,Big 5 combined,
105,Samuele Perisan,ITA,GK,Empoli,it Serie A,26-140,1997,1,1,90,1.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/00a17eba/Samuele-Perisan,00a17eba,Big 5 combined,
106,Pavao Pervan,AUT,GK,Wolfsburg,de Bundesliga,36-056,1987,3,3,270,3.0,2.33,2.33,5.33,3.33,56.3,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/c89e8aae/Pavao-Pervan,c89e8aae,Big 5 combined,
107,Denis Petrić,SRB,GK,Nantes,fr Ligue 1,35-229,1988,1,0,24,0.3,3.33,3.75,3.33,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/dab1b8dc/Denis-Petric,dab1b8dc,Big 5 combined,
108,Đorđe Petrović,SRB,GK,Chelsea,eng Premier League,24-092,1999,5,4,367,4.1,1.46,1.47,4.63,3.17,68.4,0.73,0.0,0.24,0.24,25.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/0cf321c8/Djordje-Petrovic,0cf321c8,Big 5 combined,
109,Jordan Pickford,ENG,GK,Everton,eng Premier League,29-307,1994,20,20,1800,20.0,1.4,1.4,3.95,2.65,70.9,0.4,0.1,0.5,0.3,30.0,0.25,0.25,0.0,0.0,0.0,https://fbref.com/en/players/4806ec67/Jordan-Pickford,4806ec67,Big 5 combined,
110,Nick Pope,ENG,GK,Newcastle Utd,eng Premier League,31-264,1992,14,14,1255,13.9,1.01,1.0,3.81,2.81,73.6,0.58,0.14,0.29,0.36,35.7,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/4b40d9ca/Nick-Pope,4b40d9ca,Big 5 combined,
111,Ivan Provedel,ITA,GK,Lazio,it Serie A,29-297,1994,19,19,1710,19.0,1.05,1.05,3.79,2.74,73.6,0.47,0.16,0.37,0.32,31.6,0.05,0.05,0.0,0.0,0.0,https://fbref.com/en/players/277da414/Ivan-Provedel,277da414,Big 5 combined,
112,Ionuț Radu,ROU,GK,Bournemouth,eng Premier League,26-225,1997,2,2,180,2.0,3.5,3.5,5.5,2.0,36.4,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/67f649be/Ionut-Radu,67f649be,Big 5 combined,
113,Boris Radunović,SRB,GK,Cagliari,it Serie A,27-227,1996,7,7,630,7.0,1.71,1.71,3.86,2.29,55.6,0.0,0.29,0.71,0.29,28.6,0.14,0.0,0.0,0.14,,https://fbref.com/en/players/0dfce079/Boris-Radunovic,0dfce079,Big 5 combined,
114,Predrag Rajković,SRB,GK,Mallorca,es La Liga,28-069,1995,19,19,1710,19.0,1.21,1.21,3.89,2.68,74.3,0.16,0.47,0.37,0.32,31.6,0.21,0.21,0.0,0.0,0.0,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,58ad9383,Big 5 combined,
115,Aaron Ramsdale,ENG,GK,Arsenal,eng Premier League,25-239,1998,5,5,450,5.0,0.8,0.8,2.0,1.2,60.0,0.8,0.2,0.0,0.4,40.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,466fb2c5,Big 5 combined,
116,Federico Ravaglia,ITA,GK,Bologna,it Serie A,24-058,1999,2,2,180,2.0,0.5,0.5,2.0,1.5,75.0,0.5,0.5,0.0,0.5,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/6662d731/Federico-Ravaglia,6662d731,Big 5 combined,
117,David Raya,ESP,GK,Arsenal,eng Premier League,28-115,1995,15,15,1350,15.0,1.07,1.07,2.6,1.47,61.5,0.53,0.2,0.27,0.33,33.3,0.13,0.07,0.07,0.0,50.0,https://fbref.com/en/players/98ea5115/David-Raya,98ea5115,Big 5 combined,
118,Álex Remiro,ESP,GK,Real Sociedad,es La Liga,28-290,1995,19,19,1655,18.4,0.98,0.98,4.08,3.15,78.7,0.43,0.43,0.16,0.38,36.8,0.11,0.11,0.0,0.0,0.0,https://fbref.com/en/players/374ee424/Alex-Remiro,374ee424,Big 5 combined,
119,Guillaume Restes,FRA,GK,Toulouse,fr Ligue 1,18-303,2005,17,17,1530,17.0,1.35,1.35,4.29,2.94,74.0,0.12,0.47,0.41,0.18,17.6,0.24,0.24,0.0,0.0,0.0,https://fbref.com/en/players/6b91b999/Guillaume-Restes,6b91b999,Big 5 combined,
120,Manuel Riemann,GER,GK,Bochum,de Bundesliga,35-121,1988,16,16,1440,16.0,2.06,2.06,5.81,3.75,67.7,0.19,0.44,0.38,0.19,18.8,0.31,0.19,0.13,0.0,40.0,https://fbref.com/en/players/9f941969/Manuel-Riemann,9f941969,Big 5 combined,
121,Rémy Riou,FRA,GK,Lyon,fr Ligue 1,36-155,1987,3,3,270,3.0,2.0,2.0,4.67,2.67,57.1,0.0,0.33,0.67,0.33,33.3,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/7f41ee30/Remy-Riou,7f41ee30,Big 5 combined,
122,Frederik Rønnow,DEN,GK,Union Berlin,de Bundesliga,31-157,1992,15,15,1350,15.0,2.07,2.07,4.93,2.8,62.2,0.27,0.07,0.67,0.07,6.7,0.33,0.2,0.13,0.0,40.0,https://fbref.com/en/players/a70b8345/Frederik-Ronnow,a70b8345,Big 5 combined,
123,José Sá,POR,GK,Wolves,eng Premier League,30-356,1993,18,18,1552,17.2,1.63,1.62,4.59,3.02,70.9,0.41,0.23,0.41,0.12,11.1,0.29,0.29,0.0,0.0,0.0,https://fbref.com/en/players/903b6e8b/Jose-Sa,903b6e8b,Big 5 combined,
124,Brice Samba,FRA,GK,Lens,fr Ligue 1,29-258,1994,17,17,1530,17.0,1.0,1.0,3.88,2.88,80.3,0.41,0.29,0.29,0.47,47.1,0.24,0.24,0.0,0.0,0.0,https://fbref.com/en/players/60d90c55/Brice-Samba,60d90c55,Big 5 combined,
125,Robert Sánchez,ESP,GK,Chelsea,eng Premier League,26-051,1997,16,16,1433,15.9,1.57,1.57,4.91,3.27,70.5,0.31,0.25,0.44,0.19,18.8,0.19,0.13,0.06,0.0,33.3,https://fbref.com/en/players/6a713852/Robert-Sanchez,6a713852,Big 5 combined,
126,Marcel Schuhen,GER,GK,Darmstadt 98,de Bundesliga,30-360,1993,15,15,1350,15.0,2.67,2.67,6.6,3.87,60.6,0.13,0.2,0.67,0.07,6.7,0.13,0.07,0.07,0.0,50.0,https://fbref.com/en/players/5fa2e0cf/Marcel-Schuhen,5fa2e0cf,Big 5 combined,
127,Marvin Schwäbe,GER,GK,Köln,de Bundesliga,28-258,1995,16,16,1440,16.0,1.75,1.75,5.31,3.56,68.2,0.13,0.25,0.63,0.13,12.5,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/87436846/Marvin-Schwabe,87436846,Big 5 combined,
128,Simone Scuffet,ITA,GK,Cagliari,it Serie A,27-222,1996,12,12,1080,12.0,1.67,1.67,3.67,2.0,56.8,0.25,0.33,0.42,0.08,8.3,0.08,0.08,0.0,0.0,0.0,https://fbref.com/en/players/41bd99ea/Simone-Scuffet,41bd99ea,Big 5 combined,
129,Matz Sels,BEL,GK,Strasbourg,fr Ligue 1,31-316,1992,17,17,1530,17.0,1.29,1.29,3.29,2.12,62.5,0.35,0.29,0.35,0.18,17.6,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/834b5c4c/Matz-Sels,834b5c4c,Big 5 combined,
130,Rui Silva,POR,GK,Betis,es La Liga,29-335,1994,10,10,855,9.5,1.16,1.16,4.74,3.58,84.4,0.21,0.53,0.32,0.42,40.0,0.42,0.42,0.0,0.0,0.0,https://fbref.com/en/players/ea83bfa6/Rui-Silva,ea83bfa6,Big 5 combined,
131,Marco Silvestri,ITA,GK,Udinese,it Serie A,32-312,1991,17,17,1530,17.0,1.65,1.65,4.0,2.35,67.6,0.06,0.65,0.29,0.24,23.5,0.35,0.35,0.0,0.0,0.0,https://fbref.com/en/players/0d422df7/Marco-Silvestri,0d422df7,Big 5 combined,
132,Unai Simón,ESP,GK,Athletic Club,es La Liga,26-211,1997,19,19,1710,19.0,1.0,1.0,3.95,2.95,74.7,0.58,0.26,0.16,0.47,47.4,0.05,0.0,0.05,0.0,100.0,https://fbref.com/en/players/5dcf3e90/Unai-Simon,5dcf3e90,Big 5 combined,
133,Antonio Sivera,ESP,GK,Alavés,es La Liga,27-150,1996,19,19,1710,19.0,1.32,1.32,3.84,2.63,74.0,0.21,0.26,0.53,0.16,15.8,0.32,0.32,0.0,0.0,0.0,https://fbref.com/en/players/9970da54/Antonio-Sivera,9970da54,Big 5 combined,
134,Łukasz Skorupski,POL,GK,Bologna,it Serie A,32-248,1991,17,17,1530,17.0,0.88,0.88,3.47,2.59,79.7,0.41,0.41,0.18,0.41,41.2,0.24,0.18,0.0,0.06,0.0,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,ab4449d6,Big 5 combined,
135,Yann Sommer,SUI,GK,Inter,it Serie A,35-022,1988,19,19,1710,19.0,0.47,0.47,2.84,2.37,85.2,0.79,0.16,0.05,0.63,63.2,0.11,0.05,0.0,0.05,0.0,https://fbref.com/en/players/420c18a1/Yann-Sommer,420c18a1,Big 5 combined,
136,David Soria,ESP,GK,Getafe,es La Liga,30-279,1993,19,19,1710,19.0,1.32,1.32,4.53,3.16,74.4,0.32,0.42,0.26,0.37,36.8,0.21,0.16,0.05,0.0,25.0,https://fbref.com/en/players/8f8c6934/David-Soria,8f8c6934,Big 5 combined,
137,Alessandro Sorrentino,ITA,GK,Monza,it Serie A,21-280,2002,2,1,140,1.6,1.88,1.93,4.38,2.5,85.7,0.0,0.63,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,https://fbref.com/en/players/8ef2452a/Alessandro-Sorrentino,8ef2452a,Big 5 combined,
138,Marco Sportiello,ITA,GK,Milan,it Serie A,31-243,1992,2,2,180,2.0,0.5,0.5,4.0,3.5,87.5,1.0,0.0,0.0,0.5,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/ac4003af/Marco-Sportiello,ac4003af,Big 5 combined,
139,Jason Steele,ENG,GK,Brighton,eng Premier League,33-143,1990,11,11,990,11.0,1.73,1.73,3.82,2.27,61.9,0.45,0.27,0.27,0.09,9.1,0.27,0.27,0.0,0.0,0.0,https://fbref.com/en/players/28300a16/Jason-Steele,28300a16,Big 5 combined,
140,Thomas Strakosha,ALB,GK,Brentford,eng Premier League,28-295,1995,2,1,135,1.5,1.33,1.33,5.33,4.0,75.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha,339fe0e8,Big 5 combined,
141,Wojciech Szczęsny,POL,GK,Juventus,it Serie A,33-265,1990,17,17,1530,17.0,0.65,0.65,2.65,2.06,75.6,0.76,0.18,0.06,0.53,52.9,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,01b8a2b2,Big 5 combined,
142,Arnau Tenas,ESP,GK,Paris S-G,fr Ligue 1,22-223,2001,3,2,259,2.9,0.69,0.69,4.48,3.79,84.6,0.34,0.34,0.0,0.34,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/30670b0e/Arnau-Tenas,30670b0e,Big 5 combined,
143,Marc-André ter Stegen,GER,GK,Barcelona,es La Liga,31-253,1992,13,13,1170,13.0,1.0,1.0,3.46,2.46,71.1,0.69,0.23,0.08,0.46,46.2,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,6f51e382,Big 5 combined,
144,Pietro Terracciano,ITA,GK,Fiorentina,it Serie A,33-306,1990,17,17,1530,17.0,0.76,0.76,3.47,2.65,84.7,0.59,0.12,0.29,0.35,35.3,0.29,0.24,0.06,0.0,20.0,https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano,e1b0a70d,Big 5 combined,
145,James Trafford,ENG,GK,Burnley,eng Premier League,21-090,2002,20,20,1800,20.0,2.05,2.05,6.0,4.05,68.3,0.15,0.1,0.75,0.1,10.0,0.15,0.15,0.0,0.0,0.0,https://fbref.com/en/players/259fea27/James-Trafford,259fea27,Big 5 combined,
146,Kevin Trapp,GER,GK,Eint Frankfurt,de Bundesliga,33-184,1990,15,15,1350,15.0,1.27,1.27,3.93,2.53,72.9,0.33,0.4,0.27,0.27,26.7,0.33,0.2,0.13,0.0,40.0,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp,ce17b5eb,Big 5 combined,
147,Stefano Turati,ITA,GK,Frosinone,it Serie A,22-125,2001,18,18,1620,18.0,1.83,1.83,4.78,3.0,62.8,0.22,0.22,0.56,0.11,11.1,0.11,0.06,0.0,0.06,0.0,https://fbref.com/en/players/bf168004/Stefano-Turati,bf168004,Big 5 combined,
148,Matt Turner,USA,GK,Nott'ham Forest,eng Premier League,29-198,1994,15,15,1350,15.0,1.53,1.53,4.8,3.27,70.8,0.27,0.33,0.4,0.13,13.3,0.13,0.13,0.0,0.0,0.0,https://fbref.com/en/players/4a51ba65/Matt-Turner,4a51ba65,Big 5 combined,
149,Sven Ulreich,GER,GK,Bayern Munich,de Bundesliga,35-158,1988,8,8,720,8.0,0.88,0.87,2.13,1.25,64.7,0.75,0.25,0.0,0.38,37.5,0.13,0.13,0.0,0.0,0.0,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich,7d3e7da6,Big 5 combined,
150,Álvaro Vallés,ESP,GK,Las Palmas,es La Liga,26-167,1997,19,19,1710,19.0,0.89,0.89,4.58,3.63,83.9,0.37,0.21,0.42,0.21,21.1,0.26,0.16,0.05,0.05,25.0,https://fbref.com/en/players/0166a73e/Alvaro-Valles,0166a73e,Big 5 combined,
151,Bart Verbruggen,NED,GK,Brighton,eng Premier League,21-143,2002,9,9,810,9.0,1.56,1.56,4.33,2.78,69.2,0.33,0.44,0.22,0.0,0.0,0.22,0.22,0.0,0.0,0.0,https://fbref.com/en/players/cf134113/Bart-Verbruggen,cf134113,Big 5 combined,
152,Guglielmo Vicario,ITA,GK,Tottenham,eng Premier League,27-093,1996,20,20,1800,20.0,1.45,1.45,4.55,3.2,73.6,0.6,0.15,0.25,0.25,25.0,0.25,0.25,0.0,0.0,0.0,https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario,77d6fd4d,Big 5 combined,
153,Iván Villar,ESP,GK,Celta Vigo,es La Liga,26-183,1997,10,10,834,9.3,1.61,1.62,4.41,2.69,65.9,0.11,0.32,0.65,0.0,0.0,0.22,0.11,0.11,0.0,50.0,https://fbref.com/en/players/cde52ef5/Ivan-Villar,cde52ef5,Big 5 combined,
154,Odisseas Vlachodimos,GRE,GK,Nott'ham Forest,eng Premier League,29-257,1994,5,5,450,5.0,2.4,2.4,4.4,2.0,50.0,0.2,0.0,0.8,0.2,20.0,0.2,0.2,0.0,0.0,0.0,https://fbref.com/en/players/03df04ff/Odisseas-Vlachodimos,03df04ff,Big 5 combined,
155,Robin Zentner,GER,GK,Mainz 05,de Bundesliga,29-072,1994,12,12,1080,12.0,2.08,2.08,4.25,2.25,54.9,0.08,0.42,0.5,0.17,16.7,0.17,0.17,0.0,0.0,0.0,https://fbref.com/en/players/5c4bf6ba/Robin-Zentner,5c4bf6ba,Big 5 combined,
156,Michael Zetterer,GER,GK,Werder Bremen,de Bundesliga,28-180,1995,9,9,810,9.0,1.44,1.44,4.11,2.78,67.6,0.22,0.44,0.33,0.22,22.2,0.11,0.11,0.0,0.0,0.0,https://fbref.com/en/players/9b688ae1/Michael-Zetterer,9b688ae1,Big 5 combined,
1,Pelle Boevink,NED,GK,Paderborn 07,,26-002,1998,3,3,270,,0.33,0.33,3.0,2.67,88.9,1.0,0.0,0.0,0.67,66.7,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/a775d6e8/Pelle-Boevink,a775d6e8,2. Bundesliga,3.0
2,Oliver Christensen,DEN,GK,Hertha BSC,,24-292,1999,2,2,180,,1.0,1.0,3.5,2.5,71.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/af104654/Oliver-Christensen,af104654,2. Bundesliga,2.0
3,Thomas Dähne,GER,GK,Holstein Kiel,,30-004,1994,3,3,270,,1.67,1.67,4.0,2.33,58.3,0.67,0.0,0.33,0.33,33.3,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/f194035d/Thomas-Dahne,f194035d,2. Bundesliga,3.0
4,Patrick Drewes,GER,GK,Karlsruher,,30-338,1993,17,17,1530,,1.76,1.76,5.12,3.35,65.5,0.29,0.35,0.35,0.12,11.8,0.06,0.0,0.06,0.0,100.0,https://fbref.com/en/players/a8403737/Patrick-Drewes,a8403737,2. Bundesliga,17.0
5,Tjark Ernst,GER,GK,Hertha BSC,,20-299,2003,14,14,1260,,1.71,1.71,5.14,3.5,69.4,0.43,0.29,0.29,0.21,21.4,0.21,0.14,0.07,0.0,33.3,https://fbref.com/en/players/3f6c3ae0/Tjark-Ernst,3f6c3ae0,2. Bundesliga,14.0
6,Ralf Fährmann,GER,GK,Schalke 04,,35-103,1988,7,7,630,,1.86,1.86,4.0,2.29,57.1,0.57,0.14,0.29,0.29,28.6,0.14,0.14,0.0,0.0,0.0,https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann,1e43fad8,2. Bundesliga,7.0
7,Lennart Grill,GER,GK,Osnabrück,,24-348,1999,15,15,1350,,2.47,2.47,6.47,3.8,63.9,0.07,0.27,0.67,0.0,0.0,0.4,0.13,0.27,0.0,66.7,https://fbref.com/en/players/37998008/Lennart-Grill,37998008,2. Bundesliga,15.0
8,Justin Heekeren,GER,GK,Schalke 04,,23-042,2000,2,2,180,,2.0,2.0,4.5,2.5,55.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/309ff595/Justin-Heekeren,309ff595,2. Bundesliga,2.0
9,Daniel Heuer Fernandes,POR,GK,Hamburger SV,,31-056,1992,17,17,1530,,1.29,1.29,4.06,2.76,69.6,0.53,0.24,0.24,0.41,41.2,0.12,0.06,0.06,0.0,50.0,https://fbref.com/en/players/0c1f8f71/Daniel-Heuer-Fernandes,0c1f8f71,2. Bundesliga,17.0
10,Ron-Thorben Hoffmann,GER,GK,Braunschweig,,24-279,1999,17,17,1530,,1.82,1.82,4.59,2.82,66.7,0.24,0.12,0.65,0.06,5.9,0.29,0.29,0.0,0.0,0.0,https://fbref.com/en/players/f72f1743/Ron-Thorben-Hoffmann,f72f1743,2. Bundesliga,17.0
11,Jannik Huth,GER,GK,Paderborn 07,,29-268,1994,14,14,1260,,1.93,1.93,5.36,3.43,64.0,0.36,0.21,0.43,0.07,7.1,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/e8fd2e5b/Jannik-Huth,e8fd2e5b,2. Bundesliga,14.0
12,Florian Kastenmeier,GER,GK,Düsseldorf,,26-194,1997,17,17,1530,,1.24,1.24,4.41,3.24,74.7,0.53,0.18,0.29,0.24,23.5,0.12,0.12,0.0,0.0,0.0,https://fbref.com/en/players/dc2e4736/Florian-Kastenmeier,dc2e4736,2. Bundesliga,17.0
13,Carl Klaus,GER,GK,Nürnberg,,29-357,1994,3,2,200,,1.36,1.35,2.73,1.36,50.0,0.0,0.45,0.45,0.45,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/8efed461/Carl-Klaus,8efed461,2. Bundesliga,2.2
14,Markus Kolke,GER,GK,Hansa Rostock,,33-143,1990,17,17,1502,,1.56,1.56,4.85,3.29,69.1,0.3,0.12,0.6,0.18,17.6,0.12,0.06,0.06,0.0,50.0,https://fbref.com/en/players/b114d86c/Markus-Kolke,b114d86c,2. Bundesliga,16.7
15,Nils-Jonathan Körber,GER,GK,Hansa Rostock,,27-056,1996,1,0,25,,6.67,7.2,20.0,13.3,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/6ac69ff9/Nils-Jonathan-Korber,6ac69ff9,2. Bundesliga,0.3
16,Julian Krahl,GER,GK,Kaiserslautern,,23-351,2000,16,15,1400,,2.12,2.12,5.58,3.46,66.7,0.32,0.19,0.45,0.0,0.0,0.26,0.26,0.0,0.0,0.0,https://fbref.com/en/players/5c9fe42b/Julian-Krahl,5c9fe42b,2. Bundesliga,15.6
17,Nicolas Kristof,GER,GK,Elversberg,,24-019,1999,17,17,1530,,1.71,1.71,5.06,3.35,69.8,0.41,0.18,0.41,0.18,17.6,0.18,0.18,0.0,0.0,0.0,https://fbref.com/en/players/a037c229/Nicolas-Kristof,a037c229,2. Bundesliga,17.0
18,Philipp Kühn,GER,GK,Osnabrück,,31-128,1992,2,2,180,,0.5,0.5,5.5,5.0,90.9,0.0,1.0,0.0,0.5,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/a5a24ce6/Philipp-Kuhn,a5a24ce6,2. Bundesliga,2.0
19,Robert Kwasigroch,GER,GK,Hertha BSC,,19-196,2004,1,1,90,,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/5f517064/Robert-Kwasigroch,5f517064,2. Bundesliga,1.0
20,Michael Langer,AUT,GK,Schalke 04,,39-002,1985,3,2,226,,2.8,2.79,6.0,3.2,66.7,0.0,0.0,0.8,0.0,0.0,0.8,0.8,0.0,0.0,0.0,https://fbref.com/en/players/d20f088b/Michael-Langer,d20f088b,2. Bundesliga,2.5
21,Andreas Linde,SWE,GK,Greuther Fürth,,30-168,1993,1,1,90,,1.0,1.0,4.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,https://fbref.com/en/players/4d6a842d/Andreas-Linde,4d6a842d,2. Bundesliga,1.0
22,Andreas Luthe,GER,GK,Kaiserslautern,,36-304,1987,2,2,128,,2.14,2.11,4.29,2.14,66.7,0.0,0.0,1.43,0.0,0.0,0.71,0.71,0.0,0.0,0.0,https://fbref.com/en/players/7fe12375/Andreas-Luthe,7fe12375,2. Bundesliga,1.4
23,Christian Mathenia,GER,GK,Nürnberg,,31-283,1992,15,15,1327,,2.04,2.03,4.56,2.52,59.7,0.48,0.14,0.41,0.14,13.3,0.2,0.2,0.0,0.0,0.0,https://fbref.com/en/players/4a15e95b/Christian-Mathenia,4a15e95b,2. Bundesliga,14.7
24,Marius Müller,GER,GK,Schalke 04,,30-180,1993,6,6,494,,2.0,2.0,6.55,4.55,72.2,0.36,0.18,0.55,0.18,16.7,0.18,0.18,0.0,0.0,0.0,https://fbref.com/en/players/04ac779b/Marius-Muller,04ac779b,2. Bundesliga,5.5
