Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
385,Moritz Broschinski,GER,FW,Bochum,de Bundesliga,23-220,2000,12.4,28.7,0.73,1.61,10.2,17.0,4.19,28.7,2.26,0.81,35.7,1.37,60.7,15.4,77.6,26.5,1.13,0.73,0.48,3.15,2.42,20.4,6.13,https://fbref.com/en/players/bbd79358/Moritz-Broschinski,bbd79358,Big 5 combined
386,Jacob Brown,SCO,"MF,FW",Luton Town,eng Premier League,26-020,1998,11.3,37.8,2.65,9.12,13.5,16.0,4.42,37.8,2.21,0.53,24.0,1.42,64.0,17.7,98.4,44.6,2.21,1.24,0.80,2.12,2.21,21.0,4.69,https://fbref.com/en/players/ca18c8f1/Jacob-Brown,ca18c8f1,Big 5 combined
387,Josh Brownhill,ENG,MF,Burnley,eng Premier League,28-133,1995,23.9,54.0,2.93,13.5,24.7,16.3,1.46,54.0,0.54,0.29,53.8,0.25,46.2,22.0,92.6,41.5,0.71,0.54,0.08,0.67,0.46,27.9,1.34,https://fbref.com/en/players/47369df8/Josh-Brownhill,47369df8,Big 5 combined
388,Alexander Brunst,GER,GK,Darmstadt 98,de Bundesliga,28-298,1995,1.0,48.0,33.0,47.0,1.00,0.00,0.00,48.0,0.00,0.00,,0.00,,26.0,141.0,98.0,0.00,0.00,0.00,0.00,0.00,18.0,0.00,https://fbref.com/en/players/99219195/Alexander-Brunst,99219195,Big 5 combined
389,Jacob Bruun Larsen,DEN,"MF,FW",Burnley,eng Premier League,25-224,1998,11.8,51.4,1.27,6.44,15.9,29.6,6.69,51.4,3.73,1.44,38.6,1.95,52.3,28.2,184.2,100.3,4.75,1.53,2.71,2.03,0.76,31.9,10.7,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen,4e204552,Big 5 combined
390,Tajon Buchanan,CAN,DF,Inter,it Serie A,25-082,1999,0.8,68.8,5.00,11.3,11.3,47.5,6.25,68.8,6.25,2.50,40.0,2.50,40.0,41.3,307.5,163.8,7.50,1.25,3.75,3.75,1.25,47.5,12.5,https://fbref.com/en/players/3aca6420/Tajon-Buchanan,3aca6420,Big 5 combined
391,Ante Budimir,CRO,FW,Osasuna,es La Liga,32-283,1991,26.3,27.3,0.87,2.02,11.4,14.0,5.44,27.1,1.18,0.38,32.3,0.76,64.5,11.6,46.7,18.7,0.80,0.46,0.65,2.97,1.14,18.9,3.65,https://fbref.com/en/players/8f3565b3/Ante-Budimir,8f3565b3,Big 5 combined
392,Hugo Bueno,ESP,"DF,MF",Wolves,eng Premier League,21-225,2002,7.3,65.9,4.11,23.0,26.4,16.6,0.96,65.9,3.01,0.96,31.8,1.51,50.0,35.2,210.3,104.0,2.88,1.23,0.14,0.82,1.92,39.7,5.34,https://fbref.com/en/players/bfc3b3a0/Hugo-Bueno,bfc3b3a0,Big 5 combined
393,Santiago Bueno,URU,DF,Wolves,eng Premier League,25-173,1998,8.0,64.3,8.75,33.5,29.1,2.00,0.13,64.3,0.13,0.13,100.0,0.00,0.0,37.8,198.8,114.8,0.38,0.63,0.00,0.13,0.25,45.3,0.13,https://fbref.com/en/players/edc98fac/Santiago-Bueno,edc98fac,Big 5 combined
394,Marius Bülter,GER,"DF,FW",Hoffenheim,de Bundesliga,31-032,1993,12.6,55.2,2.54,13.3,21.3,21.0,3.33,55.2,3.17,0.95,30.0,1.51,47.5,29.7,165.6,76.4,2.14,1.59,1.03,1.83,1.35,34.4,7.06,https://fbref.com/en/players/ab5b7dc1/Marius-Bulter,ab5b7dc1,Big 5 combined
395,Facundo Buonanotte,ARG,"FW,MF",Brighton,eng Premier League,19-129,2004,13.0,45.5,1.23,5.92,20.6,19.7,2.62,45.5,3.46,1.23,35.6,1.92,55.6,28.5,153.9,60.5,1.46,1.77,0.54,2.77,2.08,33.0,4.77,https://fbref.com/en/players/468a7a91/Facundo-Buonanotte,468a7a91,Big 5 combined
396,Alessandro Buongiorno,ITA,DF,Torino,it Serie A,24-329,1999,25.2,55.7,5.48,26.4,27.2,2.42,0.75,55.7,0.12,0.00,0.0,0.12,100.0,26.7,134.0,48.5,0.48,0.32,0.08,0.87,0.16,29.3,0.32,https://fbref.com/en/players/4ae67f27/Alessandro-Buongiorno,4ae67f27,Big 5 combined
397,Jonathan Burkardt,GER,"FW,MF",Mainz 05,de Bundesliga,23-294,2000,14.1,34.4,0.28,2.91,15.5,16.7,4.40,34.3,3.33,1.42,42.6,1.70,51.1,22.6,135.0,55.9,2.27,1.56,0.57,3.12,1.84,25.5,5.82,https://fbref.com/en/players/05f99a4a/Jonathan-Burkardt,05f99a4a,Big 5 combined
398,Oliver Burke,SCO,FW,Werder Bremen,de Bundesliga,27-023,1997,0.4,32.5,0.00,2.50,25.0,5.00,0.00,32.5,2.50,2.50,100.0,0.00,0.0,17.5,127.5,60.0,5.00,2.50,0.00,0.00,0.00,15.0,2.50,https://fbref.com/en/players/f631c17f/Oliver-Burke,f631c17f,Big 5 combined
399,Reece Burke,ENG,DF,Luton Town,eng Premier League,27-241,1996,16.5,50.0,5.33,20.5,23.5,6.18,1.21,50.0,0.42,0.18,42.9,0.12,28.6,23.9,108.4,63.8,0.55,0.42,0.00,1.03,0.18,27.1,0.79,https://fbref.com/en/players/a681b7b7/Reece-Burke,a681b7b7,Big 5 combined
400,Dan Burn,ENG,DF,Newcastle Utd,eng Premier League,31-357,1992,26.3,67.2,6.54,30.6,29.2,7.49,1.44,67.2,0.23,0.15,66.7,0.08,33.3,30.6,126.5,54.5,0.49,0.27,0.11,0.49,0.34,37.9,0.95,https://fbref.com/en/players/b2d31e83/Dan-Burn,b2d31e83,Big 5 combined
401,Rareș-Cătălin Burnete,ROU,FW,Lecce,it Serie A,20-090,2004,0.1,40.0,0.00,0.00,20.0,20.0,10.0,40.0,0.00,0.00,,0.00,,20.0,60.0,0.00,0.00,0.00,0.00,20.0,0.00,30.0,20.0,https://fbref.com/en/players/7c4b4e36/Rares-Catalin-Burnete,7c4b4e36,Big 5 combined
402,Mason Burstow,ENG,FW,Chelsea,eng Premier League,20-270,2003,0.1,60.0,0.00,0.00,10.0,50.0,10.0,60.0,0.00,0.00,,0.00,,20.0,10.0,0.00,0.00,0.00,0.00,10.0,0.00,30.0,10.0,https://fbref.com/en/players/dab84ad2/Mason-Burstow,dab84ad2,Big 5 combined
403,Marnon Busch,GER,DF,Heidenheim,de Bundesliga,29-144,1994,6.6,71.1,2.88,23.0,30.5,18.0,0.00,71.1,0.76,0.45,60.0,0.15,20.0,34.1,163.0,86.4,2.27,1.36,0.00,0.30,0.15,37.7,4.09,https://fbref.com/en/players/c38767ab/Marnon-Busch,c38767ab,Big 5 combined
404,Maxime Busi,BEL,"FW,DF",Reims,fr Ligue 1,24-199,1999,1.4,65.0,0.00,19.3,29.3,17.9,2.86,65.0,2.14,1.43,66.7,0.71,33.3,40.0,214.3,77.9,1.43,1.43,1.43,1.43,2.14,35.0,7.86,https://fbref.com/en/players/7b082ec2/Maxime-Busi,7b082ec2,Big 5 combined
405,Pablo Busto,ESP,DF,Betis,es La Liga,18-228,2005,0.5,66.0,4.00,16.0,34.0,16.0,0.00,66.0,2.00,2.00,100.0,0.00,0.0,24.0,160.0,104.0,2.00,0.00,0.00,0.00,2.00,34.0,2.00,https://fbref.com/en/players/da82ccb1/Pablo-Busto,da82ccb1,Big 5 combined
406,Aurélio Buta,POR,"DF,MF",Eint Frankfurt,de Bundesliga,27-080,1997,18.1,67.3,2.93,17.9,31.8,18.1,2.32,67.3,1.71,0.61,35.5,0.99,58.1,32.8,151.2,74.4,2.43,1.55,0.83,1.10,0.99,39.6,5.30,https://fbref.com/en/players/b4705807/Aurelio-Buta,b4705807,Big 5 combined
407,Marcin Bułka,POL,GK,Nice,fr Ligue 1,24-209,1999,31.0,37.0,31.0,36.8,0.13,0.10,0.06,37.0,0.06,0.06,100.0,0.00,0.0,29.9,126.8,61.9,0.00,0.00,0.00,0.00,0.00,22.8,0.00,https://fbref.com/en/players/db87a2c4/Marcin-Bulka,db87a2c4,Big 5 combined
408,Jamie Bynoe-Gittens,ENG,"FW,MF",Dortmund,de Bundesliga,19-266,2004,9.7,50.1,1.03,5.88,18.9,26.7,5.77,50.1,8.56,3.71,43.4,3.61,42.2,33.7,285.7,131.5,4.95,4.12,3.30,3.30,2.78,36.8,8.76,https://fbref.com/en/players/10745192/Jamie-Bynoe-Gittens,10745192,Big 5 combined
409,Rémy Cabella,FRA,"FW,MF",Lille,fr Ligue 1,34-053,1990,15.8,67.8,0.76,6.65,29.8,32.2,4.87,67.8,2.78,1.20,43.2,1.39,50.0,50.1,306.2,141.9,4.24,3.04,1.27,1.77,1.01,47.6,10.1,https://fbref.com/en/players/148e136f/Remy-Cabella,148e136f,Big 5 combined
410,Jovane Cabral,CPV,"MF,FW",Salernitana,it Serie A,25-321,1998,7.5,46.1,0.53,5.73,21.7,19.6,3.20,46.1,4.80,2.80,58.3,1.73,36.1,30.5,209.2,97.5,2.93,1.33,0.93,3.07,1.87,33.5,5.20,https://fbref.com/en/players/e34e086c/Jovane-Cabral,e34e086c,Big 5 combined
411,Liberato Cacace,NZL,DF,Empoli,it Serie A,23-216,2000,19.9,62.8,3.52,20.9,28.7,14.2,0.75,62.8,2.31,0.95,41.3,1.16,50.0,32.5,178.7,91.4,1.41,1.21,0.15,1.06,0.95,33.3,2.61,https://fbref.com/en/players/dd86e8e4/Liberato-Cacace,dd86e8e4,Big 5 combined
412,Anthony Caci,FRA,DF,Mainz 05,de Bundesliga,26-304,1997,25.6,65.0,3.32,21.5,31.9,12.3,1.41,65.0,1.48,0.90,60.5,0.51,34.2,30.5,139.3,74.6,1.41,0.63,0.31,0.78,0.39,36.1,2.46,https://fbref.com/en/players/0118c54c/Anthony-Caci,0118c54c,Big 5 combined
413,Moisés Caicedo,ECU,MF,Chelsea,eng Premier League,22-180,2001,27.1,75.5,3.76,20.7,43.0,12.4,0.33,75.5,1.59,0.70,44.2,0.66,41.9,43.5,165.8,70.2,0.70,0.89,0.04,1.29,0.70,56.4,0.81,https://fbref.com/en/players/16264a81/Moises-Caicedo,16264a81,Big 5 combined
414,Tom Cairney,SCO,MF,Fulham,eng Premier League,33-101,1991,15.7,85.4,1.59,14.1,46.8,26.2,1.97,85.4,2.04,1.59,78.1,0.32,15.6,57.0,274.1,138.0,2.17,2.48,0.38,1.78,1.40,68.9,4.52,https://fbref.com/en/players/a8748947/Tom-Cairney,a8748947,Big 5 combined
415,Jens Cajuste,SWE,MF,Napoli,it Serie A,24-264,1999,8.0,53.6,2.25,8.88,30.3,15.1,2.13,53.6,2.13,1.13,52.9,1.00,47.1,27.3,146.8,70.0,1.88,1.38,0.25,1.88,0.88,36.5,4.50,https://fbref.com/en/players/928a4a61/Jens-Cajuste,928a4a61,Big 5 combined
416,Davide Calabria,ITA,DF,Milan,it Serie A,27-146,1996,23.3,73.2,3.05,21.2,39.1,13.1,0.99,73.2,0.77,0.26,33.3,0.52,66.7,38.2,182.2,99.2,1.24,1.24,0.09,0.82,0.39,46.4,2.66,https://fbref.com/en/players/2146785a/Davide-Calabria,2146785a,Big 5 combined
417,Riccardo Calafiori,ITA,DF,Bologna,it Serie A,21-347,2002,23.3,82.0,9.40,37.3,39.7,5.88,0.77,82.0,0.82,0.47,57.9,0.30,36.8,49.8,280.5,159.2,1.16,1.12,0.04,1.29,0.47,54.6,0.82,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori,aded8e6f,Big 5 combined
418,Luca Caldirola,ITA,DF,Monza,it Serie A,33-089,1991,23.1,65.1,8.66,34.1,28.7,2.47,0.65,65.1,0.09,0.04,50.0,0.00,0.0,40.7,206.5,105.3,0.43,0.22,0.00,0.26,0.04,48.3,0.39,https://fbref.com/en/players/226008f1/Luca-Caldirola,226008f1,Big 5 combined
419,Duje Ćaleta-Car,CRO,DF,Lyon,fr Ligue 1,27-226,1996,19.1,61.8,10.9,34.6,26.1,1.36,1.05,61.8,0.10,0.05,50.0,0.05,50.0,43.7,214.7,103.0,0.26,0.10,0.00,0.16,0.05,41.4,0.05,https://fbref.com/en/players/94f8d10c/Duje-Caleta-Car,94f8d10c,Big 5 combined
420,Hakan Çalhanoğlu,TUR,MF,Inter,it Serie A,30-082,1994,26.6,90.4,2.63,21.2,48.8,21.0,0.98,90.0,0.56,0.26,46.7,0.26,46.7,56.3,268.4,137.0,1.65,2.37,0.04,0.94,0.26,65.4,1.17,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,cd0fa27b,Big 5 combined
421,José Callejón,ESP,"MF,FW",Granada,es La Liga,37-079,1987,7.4,49.5,2.57,12.2,22.4,15.3,2.03,49.5,0.95,0.27,28.6,0.41,42.9,26.4,123.1,52.2,1.35,0.95,0.14,1.35,0.68,31.6,5.54,https://fbref.com/en/players/78841da9/Jose-Callejon,78841da9,Big 5 combined
422,Dominic Calvert-Lewin,ENG,FW,Everton,eng Premier League,27-045,1997,21.6,30.2,1.99,3.24,11.1,16.0,5.23,30.2,1.62,0.46,28.6,1.02,62.9,14.5,83.2,31.2,1.34,0.83,0.83,2.59,1.11,23.1,4.81,https://fbref.com/en/players/59e6e5bf/Dominic-Calvert-Lewin,59e6e5bf,Big 5 combined
423,Lamine Camara,SEN,MF,Metz,fr Ligue 1,20-120,2004,22.4,54.2,2.10,11.6,30.6,13.3,0.45,54.1,2.46,1.03,41.8,1.29,52.7,35.5,240.9,95.1,0.98,1.47,0.13,2.41,1.16,30.7,2.90,https://fbref.com/en/players/19c2ffa4/Lamine-Camara,19c2ffa4,Big 5 combined
424,Mahdi Camara,FRA,MF,Brest,fr Ligue 1,25-305,1998,19.8,49.2,1.06,6.36,26.8,16.4,3.43,49.1,1.87,0.71,37.8,0.96,51.4,33.6,181.7,75.4,1.46,1.67,0.30,1.72,1.11,31.7,5.76,https://fbref.com/en/players/8577e60a/Mahdi-Camara,8577e60a,Big 5 combined
425,Mohamed Camara,MLI,MF,Monaco,fr Ligue 1,24-115,2000,9.5,75.1,1.05,11.9,48.8,14.9,0.74,75.1,2.11,0.84,40.0,0.95,45.0,61.3,293.6,122.7,1.26,2.42,0.00,1.26,1.47,57.5,1.89,https://fbref.com/en/players/489e80e3/Mohamed-Camara,489e80e3,Big 5 combined
426,Francesco Camarda,ITA,FW,Milan,it Serie A,16-051,2008,0.2,10.0,0.00,5.00,0.00,5.00,0.00,10.0,5.00,0.00,0.0,5.00,100.0,10.0,45.0,0.00,0.00,0.00,0.00,5.00,0.00,5.00,5.00,https://fbref.com/en/players/1956a64b/Francesco-Camarda,1956a64b,Big 5 combined
427,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,es La Liga,21-172,2002,16.5,76.3,2.55,19.5,42.2,15.9,1.03,76.3,3.52,1.70,48.3,1.03,29.3,47.5,274.2,145.5,2.48,2.73,0.24,1.39,1.27,55.5,1.58,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,7b9c2d84,Big 5 combined
428,Nicolò Cambiaghi,ITA,"FW,MF",Empoli,it Serie A,23-124,2000,26.9,35.9,0.26,3.09,12.8,20.8,4.01,35.9,3.09,1.12,36.1,1.45,47.0,25.2,219.9,99.3,4.42,1.75,1.67,2.19,1.38,26.7,7.06,https://fbref.com/en/players/91ff775f/Nicolo-Cambiaghi,91ff775f,Big 5 combined
429,Andrea Cambiaso,ITA,"DF,FW",Juventus,it Serie A,24-070,2000,23.9,54.4,1.76,12.0,23.5,19.6,2.30,54.4,2.26,1.00,44.4,1.00,44.4,32.1,202.9,104.4,3.22,1.88,0.88,1.51,0.71,37.2,6.28,https://fbref.com/en/players/247ed022/Andrea-Cambiaso,247ed022,Big 5 combined
430,Axel Camblan,FRA,FW,Brest,fr Ligue 1,20-244,2003,1.0,43.0,0.00,4.00,12.0,28.0,3.00,43.0,8.00,3.00,37.5,5.00,62.5,28.0,290.0,117.0,5.00,4.00,0.00,3.00,2.00,26.0,8.00,https://fbref.com/en/players/9f4a940f/Axel-Camblan,9f4a940f,Big 5 combined
431,Sergio Camello,ESP,FW,Rayo Vallecano,es La Liga,23-080,2001,15.9,31.6,0.94,2.45,15.3,14.3,3.21,31.6,2.45,0.82,33.3,1.51,61.5,18.0,87.2,32.7,1.19,1.07,0.63,2.77,1.51,23.6,4.59,https://fbref.com/en/players/873619c6/Sergio-Camello,873619c6,Big 5 combined
432,José Campaña,ESP,MF,Las Palmas,es La Liga,30-335,1993,1.4,97.9,4.29,32.1,57.1,9.29,0.00,97.9,1.43,0.71,50.0,0.71,50.0,62.1,252.1,73.6,0.00,0.00,0.00,1.43,1.43,69.3,0.00,https://fbref.com/en/players/61220da2/Jose-Campana,61220da2,Big 5 combined
433,Emre Can,GER,"MF,DF",Dortmund,de Bundesliga,30-109,1994,20.7,78.8,4.83,26.8,44.9,7.78,0.68,78.7,1.35,0.68,50.0,0.53,39.3,44.1,242.0,107.5,1.50,0.72,0.10,1.35,0.92,53.9,0.82,https://fbref.com/en/players/a65ce836/Emre-Can,a65ce836,Big 5 combined
434,Matteo Cancellieri,ITA,"FW,MF",Empoli,it Serie A,22-078,2002,16.8,34.5,1.13,5.60,12.7,17.3,3.99,34.5,4.88,1.90,39.0,2.14,43.9,22.2,167.9,75.9,2.62,2.02,1.43,2.56,1.79,23.9,6.85,https://fbref.com/en/players/b6a1cdf9/Matteo-Cancellieri,b6a1cdf9,Big 5 combined
435,João Cancelo,POR,DF,Barcelona,es La Liga,29-339,1994,22.8,81.1,3.29,17.1,40.7,24.3,2.37,81.1,4.21,2.41,57.3,1.36,32.3,45.7,274.2,147.7,3.95,2.41,1.10,2.02,0.83,54.0,6.36,https://fbref.com/en/players/bd6351cd/Joao-Cancelo,bd6351cd,Big 5 combined
436,Fali Candé,GNB,DF,Metz,fr Ligue 1,26-097,1998,18.6,49.8,8.39,28.9,19.2,2.10,0.48,49.8,0.54,0.32,60.0,0.16,30.0,33.7,188.0,82.8,0.16,0.48,0.00,0.43,0.05,30.1,0.11,https://fbref.com/en/players/3cc4bb19/Fali-Cande,3cc4bb19,Big 5 combined
437,Antonio Candreva,ITA,"MF,FW",Salernitana,it Serie A,37-062,1987,29.4,52.7,1.29,6.16,23.7,23.2,1.94,52.6,1.33,0.51,38.5,0.68,51.3,30.7,161.9,68.3,2.18,1.46,0.61,0.99,0.54,38.1,6.02,https://fbref.com/en/players/356c9002/Antonio-Candreva,356c9002,Big 5 combined
438,Thomas Cannon,IRL,FW,Everton,eng Premier League,21-124,2002,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/4506aec5/Thomas-Cannon,4506aec5,Big 5 combined
439,Sergi Canós,ESP,"MF,FW",Valencia,es La Liga,27-088,1997,10.2,41.9,0.59,6.27,16.7,19.7,3.24,41.9,2.55,1.18,46.2,1.27,50.0,24.1,128.8,63.8,2.35,0.88,0.88,2.65,0.88,27.4,7.25,https://fbref.com/en/players/1137759d/Sergi-Canos,1137759d,Big 5 combined
440,Luigi Canotto,ITA,FW,Frosinone,it Serie A,29-347,1994,0.2,20.0,0.00,10.0,10.0,0.00,0.00,20.0,5.00,5.00,100.0,0.00,0.0,25.0,45.0,20.0,0.00,0.00,0.00,0.00,10.0,15.0,5.00,https://fbref.com/en/players/911080b1/Luigi-Canotto,911080b1,Big 5 combined
441,Gino Caoki,FRA,MF,Lorient,fr Ligue 1,19-288,2004,0.1,40.0,10.0,20.0,20.0,0.00,0.00,40.0,0.00,0.00,,0.00,,40.0,280.0,210.0,10.0,0.00,0.00,0.00,0.00,30.0,0.00,https://fbref.com/en/players/a26d3da7/Gino-Caoki,a26d3da7,Big 5 combined
442,Étienne Capoue,FRA,MF,Villarreal,es La Liga,35-294,1988,15.6,62.4,2.63,14.9,35.0,13.2,1.35,62.4,2.76,1.35,48.8,1.28,46.5,35.1,165.9,74.2,1.41,1.67,0.26,2.05,1.09,45.4,2.31,https://fbref.com/en/players/5acc4a10/Etienne-Capoue,5acc4a10,Big 5 combined
443,Gianluca Caprari,ITA,"MF,FW",Monza,it Serie A,30-275,1993,2.8,49.3,0.36,6.43,20.7,22.9,3.21,49.3,2.50,1.07,42.9,1.43,57.1,35.0,210.7,117.5,3.93,3.21,1.79,3.21,3.21,38.2,4.29,https://fbref.com/en/players/54e53b7e/Gianluca-Caprari,54e53b7e,Big 5 combined
444,Elia Caprile,ITA,GK,Empoli,it Serie A,22-249,2001,19.0,37.9,30.4,37.7,0.26,0.00,0.00,37.9,0.00,0.00,,0.00,,19.6,95.4,58.0,0.00,0.00,0.00,0.05,0.00,17.3,0.00,https://fbref.com/en/players/97d7afbd/Elia-Caprile,97d7afbd,Big 5 combined
445,Francesco Caputo,ITA,FW,Empoli,it Serie A,36-268,1987,12.7,21.1,0.24,1.02,10.7,9.61,3.39,21.0,0.71,0.39,55.6,0.31,44.4,12.8,48.3,15.3,0.47,0.47,0.24,1.65,0.87,15.8,4.49,https://fbref.com/en/players/5bd72174/Francesco-Caputo,5bd72174,Big 5 combined
446,Maxence Caqueret,FRA,MF,Lyon,fr Ligue 1,24-075,2000,30.6,70.1,1.86,14.2,38.5,18.2,1.44,70.1,2.68,1.60,59.8,0.92,34.1,53.4,282.9,126.5,2.22,1.80,0.39,1.63,1.47,48.7,2.68,https://fbref.com/en/players/f81ef10d/Maxence-Caqueret,f81ef10d,Big 5 combined
447,Andrea Carboni,ITA,DF,Monza,it Serie A,23-086,2001,16.5,69.6,7.88,30.5,31.3,8.00,1.58,69.6,0.36,0.18,50.0,0.18,50.0,42.3,193.9,112.5,0.79,0.79,0.12,0.85,0.12,49.2,1.33,https://fbref.com/en/players/f7e2af2c/Andrea-Carboni,f7e2af2c,Big 5 combined
448,Valentin Carboni,ARG,"MF,FW",Monza,it Serie A,19-056,2005,10.7,53.3,0.47,7.01,26.4,21.2,3.18,53.3,3.83,1.87,48.8,1.40,36.6,36.1,262.8,113.7,3.74,2.43,1.40,2.43,1.03,39.3,5.61,https://fbref.com/en/players/707b98f1/Valentin-Carboni,707b98f1,Big 5 combined
449,Isaac Carcelen,ESP,DF,Cádiz,es La Liga,31-007,1993,28.3,49.3,3.43,15.0,22.4,12.0,0.35,49.3,0.78,0.46,59.1,0.32,40.9,19.4,88.3,43.0,0.85,0.99,0.04,0.71,0.64,23.3,2.33,https://fbref.com/en/players/c4b888df/Isaac-Carcelen,c4b888df,Big 5 combined
450,Irvin Cardona,FRA,"MF,DF",Augsburg,de Bundesliga,26-266,1997,0.6,40.0,0.00,3.33,6.67,30.0,8.33,40.0,1.67,0.00,0.0,1.67,100.0,23.3,215.0,101.7,5.00,3.33,3.33,3.33,0.00,25.0,10.0,https://fbref.com/en/players/5e080f73/Irvin-Cardona,5e080f73,Big 5 combined
451,Marc Cardona,ESP,FW,Las Palmas,es La Liga,28-297,1995,6.8,42.5,1.03,4.56,20.0,18.8,5.74,42.4,3.24,1.32,40.9,1.91,59.1,27.4,113.8,46.0,1.32,0.59,0.44,3.09,2.06,32.1,9.26,https://fbref.com/en/players/b92b456a/Marc-Cardona,b92b456a,Big 5 combined
452,Sergi Cardona,ESP,DF,Las Palmas,es La Liga,24-297,1999,28.9,83.7,4.71,27.0,38.4,18.8,2.18,83.7,1.18,0.55,47.1,0.48,41.2,39.3,189.1,104.1,1.94,1.56,0.21,1.52,0.55,48.7,5.29,https://fbref.com/en/players/74e90475/Sergi-Cardona,74e90475,Big 5 combined
453,Johnny Cardoso,USA,MF,Betis,es La Liga,22-223,2001,10.5,54.4,2.86,14.9,33.0,7.52,0.67,54.4,1.52,0.95,62.5,0.48,31.3,26.1,126.1,57.6,0.57,0.86,0.00,0.95,0.95,30.0,0.76,https://fbref.com/en/players/7426f085/Johnny-Cardoso,7426f085,Big 5 combined
454,Igor Carioca,BRA,"DF,MF",Lorient,fr Ligue 1,27-253,1996,2.9,68.6,2.07,21.0,32.8,15.5,1.38,68.6,3.10,1.38,44.4,1.38,44.4,40.0,239.3,91.0,2.07,1.03,0.69,1.38,0.34,37.9,5.52,https://fbref.com/en/players/e3e32fbb/Igor-Carioca,e3e32fbb,Big 5 combined
455,Diego Carlos,BRA,DF,Aston Villa,eng Premier League,31-046,1993,17.2,74.1,12.0,40.9,31.2,2.21,1.10,74.1,0.23,0.12,50.0,0.12,50.0,48.5,236.9,130.6,0.23,0.12,0.06,0.35,0.17,53.8,0.06,https://fbref.com/en/players/b4a014b1/Diego-Carlos,b4a014b1,Big 5 combined
456,Carmona,ESP,"MF,DF",Getafe,es La Liga,22-092,2002,10.9,44.4,1.65,10.7,20.0,14.4,2.11,44.4,1.83,0.55,30.0,1.10,60.0,20.4,132.6,66.1,2.02,1.19,0.37,1.93,1.19,22.2,3.39,https://fbref.com/en/players/2dce876a/Carmona,2dce876a,Big 5 combined
457,Marco Carnesecchi,ITA,GK,Atalanta,it Serie A,23-304,2000,23.0,35.8,32.7,35.8,0.04,0.00,0.00,35.8,0.00,0.00,,0.00,,18.0,88.5,49.0,0.00,0.00,0.00,0.04,0.00,15.4,0.00,https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi,8ec56e62,Big 5 combined
458,Yannick Carrasco,BEL,DF,Atlético Madrid,es La Liga,30-239,1993,2.5,45.2,2.00,11.6,15.2,19.6,2.40,45.2,2.40,2.00,83.3,0.40,16.7,26.4,180.0,98.4,3.60,2.00,0.80,2.00,1.20,25.2,6.80,https://fbref.com/en/players/de39485a/Yannick-Carrasco,de39485a,Big 5 combined
459,Álvaro Carreras,ESP,"MF,FW",Granada,es La Liga,21-038,2003,5.3,55.8,2.26,15.7,23.4,18.1,2.08,55.8,2.64,1.32,50.0,0.94,35.7,33.2,218.1,110.0,2.45,2.64,0.19,2.83,1.70,34.3,5.85,https://fbref.com/en/players/33a68b9b/Alvaro-Carreras,33a68b9b,Big 5 combined
460,Rasmus Carstensen,DEN,"DF,FW",Köln,de Bundesliga,23-202,2000,18.0,58.1,4.39,17.8,24.8,16.4,1.89,58.1,1.67,0.72,43.3,0.67,40.0,27.6,161.9,75.1,1.78,1.44,0.17,2.06,1.22,30.8,4.72,https://fbref.com/en/players/64d7f629/Rasmus-Carstensen,64d7f629,Big 5 combined
461,Antonin Cartillier,FRA,DF,Monaco,fr Ligue 1,19-312,2004,0.1,60.0,0.00,10.0,40.0,10.0,0.00,60.0,0.00,0.00,,0.00,,30.0,420.0,150.0,10.0,10.0,0.00,0.00,10.0,30.0,0.00,https://fbref.com/en/players/c4a71372/Antonin-Cartillier,c4a71372,Big 5 combined
462,Dani Carvajal,ESP,DF,Real Madrid,es La Liga,32-110,1992,21.3,69.2,4.23,19.3,30.1,20.8,2.44,69.2,0.89,0.38,42.1,0.42,47.4,38.3,160.9,79.2,1.31,1.41,0.42,0.89,0.80,45.3,6.85,https://fbref.com/en/players/4958bfb2/Dani-Carvajal,4958bfb2,Big 5 combined
463,Fabio Carvalho,POR,MF,RB Leipzig,de Bundesliga,21-244,2002,1.8,65.6,0.00,7.22,25.0,33.9,3.89,65.6,3.89,1.67,42.9,1.67,42.9,40.0,243.3,128.3,4.44,3.33,0.56,3.89,1.11,50.0,7.22,https://fbref.com/en/players/966e28d0/Fabio-Carvalho,966e28d0,Big 5 combined
