Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
734,Nicolas Cozza,FRA,DF,Wolfsburg,de Bundesliga,25-113,1999,6,276,46,9.9,3.1,0.97,70,0.00,0.97,22,2.58,1.33,1.29,2.26,-0.97,-0.98,-0.58,1.10,0.81,0.29,+0.29,+0.54,https://fbref.com/en/players/8f325097/Nicolas-Cozza,8f325097,Big 5 combined
735,Alessio Cragno,ITA,GK,Sassuolo,it Serie A,29-307,1994,2,180,90,5.9,2.0,1.00,90,1.00,0.00,,15.5,1.50,3.00,3.00,0.00,0.00,+0.81,1.40,2.00,-0.55,-0.57,+0.05,https://fbref.com/en/players/f554e29b/Alessio-Cragno,f554e29b,Big 5 combined
736,Gian Crespi,ITA,GK,Juventus,it Serie A,22-307,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/4dea2f2c/Gian-Crespi,4dea2f2c,Big 5 combined
737,Crespo,POR,MF,Rayo Vallecano,es La Liga,27-232,1996,10,359,36,12.1,4.0,0.75,71,0.00,1.75,21,0.50,0.70,0.25,1.25,-1.00,-1.00,-0.62,0.57,1.15,-0.57,-0.57,-0.52,https://fbref.com/en/players/922dfade/Crespo,922dfade,Big 5 combined
738,Aaron Cresswell,ENG,"DF,FW",West Ham,eng Premier League,34-137,1989,8,324,41,10.3,3.6,0.83,73,0.28,1.39,21,5.83,1.00,1.39,1.94,-0.56,-0.56,-0.33,1.44,0.86,0.58,+0.59,+1.20,https://fbref.com/en/players/4f974391/Aaron-Cresswell,4f974391,Big 5 combined
739,Bryan Cristante,ITA,"MF,DF",Roma,it Serie A,29-058,1995,33,2934,89,95.9,32.6,1.01,89,0.95,0.00,,0.00,1.70,1.81,1.20,0.61,+0.61,+0.61,1.38,1.04,0.34,+0.34,+0.40,https://fbref.com/en/players/16657b95/Bryan-Cristante,16657b95,Big 5 combined
740,Cristian,ESP,GK,Valencia,es La Liga,26-040,1998,0,,,,,0,,0,0,,32,,,,,,,,,,,,https://fbref.com/en/players/9ad74b4d/Cristian,9ad74b4d,Big 5 combined
741,Juan Cruz Armada,ESP,DF,Osasuna,es La Liga,31-277,1992,23,1553,68,52.3,17.3,0.98,86,0.75,0.35,16,0.40,1.35,1.27,1.50,-0.23,-0.23,+0.28,1.13,1.21,-0.07,-0.07,+0.30,https://fbref.com/en/players/a56da3ba/Juan-Cruz-Armada,a56da3ba,Big 5 combined
742,Juan Cruz,ARG,"FW,MF",Hellas Verona,it Serie A,24-286,1999,4,109,27,3.6,1.2,0.83,57,0.00,2.50,17,12.5,0.50,0.00,0.00,0.00,0.00,+0.43,0.42,0.58,-0.17,-0.20,+0.20,https://fbref.com/en/players/72f5b81f/Juan-Cruz,72f5b81f,Big 5 combined
743,Juan Cruz,ESP,FW,Betis,es La Liga,24-005,2000,5,76,15,2.6,0.8,0.00,,0.00,6.25,15,17.5,1.60,0.00,1.25,-1.25,-1.18,-1.28,0.63,2.75,-2.13,-1.97,-1.82,https://fbref.com/en/players/cc2dd8a5/Juan-Cruz,cc2dd8a5,Big 5 combined
744,Juan Cuadrado,COL,DF,Inter,it Serie A,35-340,1988,7,156,22,5.1,1.7,0.00,,0.00,4.12,22,2.35,2.43,2.35,0.00,2.35,+2.31,+0.48,1.82,0.59,1.24,+1.21,-0.10,https://fbref.com/en/players/0ab1f153/Juan-Cuadrado,0ab1f153,Big 5 combined
745,Pau Cubarsí,ESP,DF,Barcelona,es La Liga,17-099,2007,13,1092,84,37.9,12.1,0.99,87,0.74,0.08,45,0.58,2.23,2.15,1.16,0.99,+0.99,+0.23,1.84,1.03,0.81,+0.81,-0.36,https://fbref.com/en/players/cc7888f3/Pau-Cubarsi,cc7888f3,Big 5 combined
746,Marc Cucurella,ESP,DF,Chelsea,eng Premier League,25-283,1998,16,1332,83,44.8,14.8,1.01,86,0.74,0.07,45,0.41,1.44,2.43,1.96,0.47,+0.47,+0.64,1.97,1.61,0.36,+0.37,-0.07,https://fbref.com/en/players/1daec722/Marc-Cucurella,1daec722,Big 5 combined
747,Iván Cuéllar,ESP,GK,Mallorca,es La Liga,39-339,1984,0,,,,,0,,0,0,,27,,,,,,,,,,,,https://fbref.com/en/players/75751c99/Ivan-Cuellar,75751c99,Big 5 combined
748,Jorge Cuenca,ESP,DF,Villarreal,es La Liga,24-165,1999,24,1666,69,56.1,18.5,0.92,89,0.86,0.38,23,0.32,1.38,1.41,1.84,-0.43,-0.43,-0.92,1.42,1.62,-0.20,-0.20,-0.34,https://fbref.com/en/players/0abc51f2/Jorge-Cuenca,0abc51f2,Big 5 combined
749,Josh Cullen,IRL,MF,Burnley,eng Premier League,28-023,1996,22,1798,82,57.1,20.0,1.00,87,0.85,0.10,30,0.40,0.73,1.10,2.00,-0.90,-0.90,+0.03,1.15,1.89,-0.74,-0.74,-0.08,https://fbref.com/en/players/f6d7d690/Josh-Cullen,f6d7d690,Big 5 combined
750,Matheus Cunha,BRA,"FW,MF",Wolves,eng Premier League,24-339,1999,29,2198,76,69.8,24.4,1.07,81,0.45,0.12,29,0.00,1.28,1.56,1.52,0.04,+0.04,+0.80,1.29,1.61,-0.32,-0.32,+0.14,https://fbref.com/en/players/dc62b55d/Matheus-Cunha,dc62b55d,Big 5 combined
751,Marvin Cuni,ALB,FW,Frosinone,it Serie A,22-295,2001,19,505,27,16.5,5.6,1.07,63,0.00,2.32,10,1.43,0.79,1.43,1.25,0.18,+0.18,+0.92,1.32,1.79,-0.46,-0.46,-0.08,https://fbref.com/en/players/1d45fd81/Marvin-Cuni,1d45fd81,Big 5 combined
752,Eric Curbelo,ESP,DF,Las Palmas,es La Liga,30-107,1994,1,90,90,3.0,1.0,1.00,90,1.00,0.00,,17.0,0.00,0.00,2.00,-2.00,-2.00,-1.72,0.70,1.70,-1.00,-0.98,-0.31,https://fbref.com/en/players/34e39a18/Eric-Curbelo,34e39a18,Big 5 combined
753,Ted Curd,ENG,GK,Chelsea,eng Premier League,18-076,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/d9bd6f58/Ted-Curd,d9bd6f58,Big 5 combined
754,Sam Curtis,IRL,DF,Sheffield Utd,eng Premier League,18-151,2005,0,,,,,0,,0,0,,8,,,,,,,,,,,,https://fbref.com/en/players/7d42865e/Sam-Curtis,7d42865e,Big 5 combined
755,Tomáš Čvančara,CZE,FW,M'Gladbach,de Bundesliga,23-261,2000,18,792,44,28.4,8.8,0.80,75,0.11,1.25,24,0.00,0.94,2.05,2.27,-0.23,-0.23,0.00,1.50,2.14,-0.64,-0.64,-0.59,https://fbref.com/en/players/298c8aa1/Tomas-Cvancara,298c8aa1,Big 5 combined
756,Francesco D'Alessio,ITA,MF,Roma,it Serie A,20-069,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/38bf8baa/Francesco-DAlessio,38bf8baa,Big 5 combined
757,Danilo D'Ambrosio,ITA,DF,Monza,it Serie A,35-234,1988,21,1383,66,45.2,15.4,0.97,82,0.58,0.39,25,0.26,1.29,1.17,1.10,0.06,+0.07,+0.55,1.09,1.48,-0.39,-0.39,+0.04,https://fbref.com/en/players/44eb9093/Danilo-DAmbrosio,44eb9093,Big 5 combined
758,Luigi D'Avino,ITA,DF,Napoli,it Serie A,18-144,2005,0,,,,,0,,0,0,,11,,,,,,,,,,,,https://fbref.com/en/players/4d02cf72/Luigi-DAvino,4d02cf72,Big 5 combined
759,Michael DaCosta,ESP,FW,Bournemouth,eng Premier League,19-056,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,https://fbref.com/en/players/c1426015/Michael-DaCosta,c1426015,Big 5 combined
760,Alberto Dadie,ESP,MF,Real Sociedad,es La Liga,21-285,2002,1,28,28,0.9,0.3,0.00,,0.00,3.33,28,0.00,0.00,3.33,0.00,3.33,+3.21,+2.91,3.00,0.33,2.67,+2.73,+2.53,https://fbref.com/en/players/cc851506/Alberto-Dadie,cc851506,Big 5 combined
761,Giovanni Daffara,ITA,GK,Juventus,it Serie A,19-147,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,https://fbref.com/en/players/be0ddfe4/Giovanni-Daffara,be0ddfe4,Big 5 combined
762,Trévis Dago,CIV,"FW,MF",Lille,fr Ligue 1,19-100,2005,4,23,6,0.8,0.3,0.00,,0.00,13.3,6,10.0,1.75,6.67,0.00,6.67,+7.83,+7.31,5.00,0.00,4.67,+5.66,+5.30,https://fbref.com/en/players/011b2a32/Trevis-Dago,011b2a32,Big 5 combined
763,Finn Dahmen,GER,GK,Augsburg,de Bundesliga,26-034,1998,31,2790,90,100.0,31.0,1.00,90,1.00,0.00,,0.00,1.26,1.55,1.68,-0.13,-0.13,,1.35,1.58,-0.24,-0.24,,https://fbref.com/en/players/dee3013b/Finn-Dahmen,dee3013b,Big 5 combined
764,Mahmoud Dahoud,GER,MF,Brighton,eng Premier League,28-120,1996,9,452,50,14.8,5.0,1.20,68,0.00,0.60,16,1.60,2.11,2.00,1.00,1.00,+1.00,+1.24,1.58,0.82,0.76,+0.76,+0.90,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud,db4ed67b,Big 5 combined
765,Mahmoud Dahoud,GER,MF,Stuttgart,de Bundesliga,28-120,1996,12,208,17,7.5,2.3,0.43,66,0.00,4.78,13,0.00,2.25,1.74,1.74,0.00,0.00,-1.12,3.13,0.96,2.17,+2.16,+1.25,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud,db4ed67b,Big 5 combined
766,Ameen Al-Dakhil,BEL,DF,Burnley,eng Premier League,22-055,2002,13,1056,81,33.5,11.7,1.03,86,0.94,0.09,21,0.17,0.38,0.85,2.22,-1.37,-1.36,-0.68,0.92,1.74,-0.81,-0.81,-0.15,https://fbref.com/en/players/93e08bce/Ameen-Al-Dakhil,93e08bce,Big 5 combined
767,Maxim Dal,GER,DF,Mainz 05,de Bundesliga,18-095,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/b185af84/Maxim-Dal,b185af84,Big 5 combined
768,Christian Dalle Mura,ITA,DF,Fiorentina,it Serie A,22-088,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/f32df091/Christian-Dalle-Mura,f32df091,Big 5 combined
769,Thijs Dallinga,NED,FW,Toulouse,fr Ligue 1,23-271,2000,30,2252,75,80.7,25.0,1.00,84,0.56,0.20,31,0.00,1.33,1.28,1.24,0.04,+0.04,+0.54,1.23,1.41,-0.18,-0.18,+0.29,https://fbref.com/en/players/b70afb45/Thijs-Dallinga,b70afb45,Big 5 combined
770,Diogo Dalot,POR,DF,Manchester Utd,eng Premier League,25-043,1999,32,2814,88,92.0,31.3,0.99,90,0.96,0.03,25,0.03,1.59,1.63,1.53,0.10,+0.10,+0.83,1.53,1.83,-0.30,-0.30,-0.41,https://fbref.com/en/players/d9565625/Diogo-Dalot,d9565625,Big 5 combined
771,Mikkel Damsgaard,DEN,MF,Brentford,eng Premier League,23-302,2000,20,661,33,21.0,7.3,0.68,74,0.00,2.05,20,0.41,0.80,2.19,1.10,1.10,+1.09,+1.67,1.79,1.10,0.68,+0.68,+0.69,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,215f3907,Big 5 combined
772,Maat Daniel Caprini,ITA,FW,Fiorentina,it Serie A,18-079,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/183934cd/Maat-Daniel-Caprini,183934cd,Big 5 combined
773,Flavius Daniliuc,AUT,DF,Salernitana,it Serie A,23-003,2001,14,744,53,24.3,8.3,0.96,76,0.48,0.72,22,0.36,0.36,0.84,2.29,-1.45,-1.45,-0.09,0.95,2.06,-1.11,-1.11,+0.03,https://fbref.com/en/players/7ef972c3/Flavius-Daniliuc,7ef972c3,Big 5 combined
774,Danilo,BRA,MF,Nott'ham Forest,eng Premier League,23-001,2001,26,1533,59,48.7,17.0,1.00,79,0.29,0.53,20,0.12,0.92,1.41,2.18,-0.76,-0.76,-0.48,1.49,1.37,0.13,+0.13,+0.43,https://fbref.com/en/players/a816dbfb/Danilo,a816dbfb,Big 5 combined
775,Danilo,BRA,DF,Juventus,it Serie A,32-290,1991,26,2182,84,71.3,24.2,0.99,90,0.99,0.08,11,0.04,1.85,1.45,0.74,0.70,+0.70,+0.29,1.39,0.76,0.63,+0.63,-0.27,https://fbref.com/en/players/94b2001f/Danilo,94b2001f,Big 5 combined
776,Arnaut Danjuma,NED,"MF,FW",Everton,eng Premier League,27-090,1997,14,595,43,18.9,6.6,0.76,84,0.30,1.36,19,1.82,0.43,0.45,1.52,-1.06,-1.06,-0.92,1.30,1.48,-0.18,-0.18,-0.18,https://fbref.com/en/players/f08490a6/Arnaut-Danjuma,f08490a6,Big 5 combined
777,Jayden Danns,ENG,FW,Liverpool,eng Premier League,18-105,2006,2,9,5,0.3,0.1,0.00,,0.00,20.0,5,40.0,3.00,20.0,0.00,20.0,+20.00,+18.88,6.00,1.00,5.00,+4.56,+3.51,https://fbref.com/en/players/003cf4d1/Jayden-Danns,003cf4d1,Big 5 combined
778,Kevin Danso,AUT,DF,Lens,fr Ligue 1,25-224,1998,29,2610,90,93.5,29.0,1.00,90,1.00,0.00,,0.00,1.48,1.28,1.10,0.17,+0.17,-0.33,1.49,1.34,0.15,+0.15,+0.98,https://fbref.com/en/players/6e33125f/Kevin-Danso,6e33125f,Big 5 combined
779,Dante,BRA,DF,Nice,fr Ligue 1,40-195,1983,30,2663,89,95.4,29.6,1.01,89,0.98,0.00,,0.00,1.70,1.18,0.78,0.41,+0.41,+1.11,1.52,1.03,0.48,+0.48,+1.44,https://fbref.com/en/players/fd2bc67d/Dante,fd2bc67d,Big 5 combined
780,Raimane Daou,COM,"DF,MF",Marseille,fr Ligue 1,19-162,2004,1,25,25,0.9,0.3,0.00,,0.00,3.33,25,6.67,1.00,3.33,3.33,0.00,0.00,-0.29,0.67,0.67,0.33,+0.19,-0.40,https://fbref.com/en/players/a2c9af28/Raimane-Daou,a2c9af28,Big 5 combined
781,Mohammed Daramy,DEN,"FW,MF",Reims,fr Ligue 1,22-114,2002,25,1648,66,59.1,18.3,1.04,79,0.27,0.33,24,0.00,1.52,1.31,1.37,-0.05,-0.05,+0.42,1.46,1.12,0.35,+0.35,+0.90,https://fbref.com/en/players/06a1d642/Mohammed-Daramy,06a1d642,Big 5 combined
782,Sergi Darder,ESP,MF,Mallorca,es La Liga,30-130,1993,31,1800,58,60.6,20.0,0.85,84,0.40,0.70,27,0.00,1.00,0.80,1.20,-0.40,-0.40,-0.09,1.11,1.32,-0.21,-0.21,-0.11,https://fbref.com/en/players/070a3904/Sergi-Darder,070a3904,Big 5 combined
783,Achraf Dari,MAR,"DF,FW",Brest,fr Ligue 1,24-360,1999,4,121,30,4.3,1.3,0.77,90,0.77,2.31,10,8.46,1.00,0.00,1.54,-1.54,-1.49,-2.09,0.69,2.00,-1.31,-1.23,-1.59,https://fbref.com/en/players/5069b796/Achraf-Dari,5069b796,Big 5 combined
784,Matteo Darmian,ITA,DF,Inter,it Serie A,34-150,1989,31,2296,74,75.0,25.5,0.98,83,0.55,0.24,36,0.12,2.65,2.39,0.55,1.84,+1.84,-0.04,2.13,0.83,1.31,+1.30,-0.01,https://fbref.com/en/players/96e0490d/Matteo-Darmian,96e0490d,Big 5 combined
785,Lukas Daschner,GER,"MF,FW",Bochum,de Bundesliga,25-212,1998,18,494,27,17.7,5.5,0.55,73,0.00,2.73,18,2.18,0.61,1.45,2.36,-0.91,-0.91,-0.13,2.07,1.87,0.20,+0.20,+0.83,https://fbref.com/en/players/93a8c4f9/Lukas-Daschner,93a8c4f9,Big 5 combined
786,Josh Dasilva,ENG,"DF,FW",Brentford,eng Premier League,25-190,1998,3,24,8,0.8,0.3,0.00,,0.00,10.0,8,3.33,2.00,0.00,0.00,0.00,0.00,+0.23,0.67,0.33,0.33,+0.32,+0.19,https://fbref.com/en/players/60344e4f/Josh-Dasilva,60344e4f,Big 5 combined
787,Lulo Dasilva,ESP,MF,Sevilla,es La Liga,21-209,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,https://fbref.com/en/players/7fc46615/Lulo-Dasilva,7fc46615,Big 5 combined
788,David Datro Fofana,CIV,FW,Burnley,eng Premier League,21-130,2002,13,869,67,27.6,9.7,1.03,80,0.52,0.31,22,0.00,0.85,0.93,1.86,-0.93,-0.93,-0.02,1.40,1.73,-0.33,-0.33,+0.52,https://fbref.com/en/players/e82900ef/David-Datro-Fofana,e82900ef,Big 5 combined
789,David Datro Fofana,CIV,"FW,MF",Union Berlin,de Bundesliga,21-130,2002,12,682,57,24.4,7.6,1.05,66,0.13,0.53,40,0.00,0.83,0.79,2.11,-1.32,-1.32,-0.72,1.30,1.42,-0.12,-0.12,+0.27,https://fbref.com/en/players/e82900ef/David-Datro-Fofana,e82900ef,Big 5 combined
790,Juan David Cabal,COL,DF,Hellas Verona,it Serie A,23-113,2001,19,1285,68,42.0,14.3,0.98,88,0.77,0.35,10,0.56,0.89,0.91,1.26,-0.35,-0.35,+0.11,0.97,1.41,-0.43,-0.43,-0.07,https://fbref.com/en/players/ef6eef89/Juan-David-Cabal,ef6eef89,Big 5 combined
791,Jonathan David,CAN,FW,Lille,fr Ligue 1,24-107,2000,31,2359,76,84.6,26.2,1.03,85,0.42,0.15,14,0.00,1.77,1.56,0.92,0.65,+0.65,+0.44,1.58,0.98,0.60,+0.60,+1.27,https://fbref.com/en/players/ce50fd99/Jonathan-David,ce50fd99,Big 5 combined
792,Adam Davies,WAL,GK,Sheffield Utd,eng Premier League,31-288,1992,0,,,,,0,,0,0,,17,,,,,,,,,,,,https://fbref.com/en/players/71894777/Adam-Davies,71894777,Big 5 combined
793,Alphonso Davies,CAN,DF,Bayern Munich,de Bundesliga,23-180,2000,26,1795,69,64.3,19.9,1.06,80,0.65,0.25,23,0.10,2.31,3.02,1.16,1.86,+1.86,+0.59,2.56,0.94,1.61,+1.61,-0.30,https://fbref.com/en/players/d781d855/Alphonso-Davies,d781d855,Big 5 combined
794,Ben Davies,WAL,DF,Tottenham,eng Premier League,31-006,1993,17,1090,64,36.7,12.1,0.99,86,0.83,0.41,12,1.07,1.82,2.07,1.74,0.33,+0.33,-0.24,1.83,1.80,0.02,+0.02,-0.15,https://fbref.com/en/players/44781702/Ben-Davies,44781702,Big 5 combined
795,Tom Davies,ENG,MF,Sheffield Utd,eng Premier League,25-305,1998,9,221,25,7.0,2.5,0.80,45,0.00,2.80,19,0.40,0.44,0.80,4.40,-3.60,-3.67,-2.01,1.20,2.84,-1.64,-1.67,-0.71,https://fbref.com/en/players/9228b07c/Tom-Davies,9228b07c,Big 5 combined
796,Keinan Davis,ENG,FW,Udinese,it Serie A,26-077,1998,4,45,11,1.5,0.5,0.00,,0.00,8.00,11,12.0,1.00,0.00,2.00,-2.00,-2.00,-1.46,1.20,1.20,0.00,+0.06,+0.40,https://fbref.com/en/players/9deaf2c8/Keinan-Davis,9deaf2c8,Big 5 combined
797,Paweł Dawidowicz,POL,DF,Hellas Verona,it Serie A,28-346,1995,25,1957,78,64.0,21.7,1.06,83,0.88,0.09,20,0.05,0.88,0.78,1.29,-0.51,-0.51,-0.26,0.82,1.33,-0.51,-0.50,-0.30,https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz,16bb656a,Big 5 combined
798,Craig Dawson,ENG,DF,Wolves,eng Premier League,33-360,1990,25,2209,88,70.1,24.5,1.02,88,0.94,0.00,,0.08,1.40,1.35,1.55,-0.20,-0.20,-0.01,1.32,1.61,-0.29,-0.29,+0.25,https://fbref.com/en/players/3e9e06cb/Craig-Dawson,3e9e06cb,Big 5 combined
799,Kevin De Bruyne,BEL,MF,Manchester City,eng Premier League,32-307,1991,14,911,65,29.8,10.1,1.09,77,0.40,0.30,21,0.30,2.57,2.87,0.59,2.28,+2.27,+1.23,2.18,0.94,1.24,+1.24,+0.23,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,e46012d4,Big 5 combined
800,Luc De Fougerolles,CAN,DF,Fulham,eng Premier League,18-201,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,https://fbref.com/en/players/45c427ff/Luc-De-Fougerolles,45c427ff,Big 5 combined
801,Charles De Ketelaere,BEL,"FW,MF",Atalanta,it Serie A,23-051,2001,30,1734,58,58.4,19.3,1.14,68,0.05,0.41,30,0.05,1.67,1.92,1.24,0.67,+0.67,+0.02,1.50,1.10,0.39,+0.40,+0.12,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,2ef7c612,Big 5 combined
802,Rodrigo De Paul,ARG,MF,Atlético Madrid,es La Liga,29-342,1994,29,1780,61,59.9,19.8,1.11,70,0.15,0.35,35,0.00,1.90,1.77,1.11,0.66,+0.66,-0.10,1.64,1.09,0.56,+0.56,-0.10,https://fbref.com/en/players/162efffd/Rodrigo-De-Paul,162efffd,Big 5 combined
803,Mattia De Sciglio,ITA,DF,Juventus,it Serie A,31-193,1992,1,45,45,1.5,0.5,2.00,45,0.00,0.00,,8.00,0.00,0.00,0.00,0.00,0.00,-0.63,0.40,1.20,-0.80,-0.88,-1.61,https://fbref.com/en/players/ae4e2852/Mattia-De-Sciglio,ae4e2852,Big 5 combined
804,Lorenzo De Silvestri,ITA,DF,Bologna,it Serie A,35-343,1988,14,589,42,19.2,6.5,0.92,68,0.00,1.23,23,2.62,2.00,1.69,0.77,0.92,+0.92,+0.33,1.12,1.35,-0.22,-0.22,-0.68,https://fbref.com/en/players/e74f0e59/Lorenzo-De-Silvestri,e74f0e59,Big 5 combined
805,Thibault De Smet,BEL,DF,Reims,fr Ligue 1,25-330,1998,27,1831,68,65.6,20.3,1.08,79,0.59,0.25,18,0.05,1.41,1.28,1.63,-0.34,-0.34,-0.34,1.44,1.31,0.13,+0.13,+0.45,https://fbref.com/en/players/5fdcb075/Thibault-De-Smet,5fdcb075,Big 5 combined
806,Koni De Winter,BEL,DF,Genoa,it Serie A,21-323,2002,25,2020,81,68.0,22.4,0.98,86,0.80,0.13,44,0.22,1.24,1.12,1.07,0.04,+0.04,+0.61,1.06,1.11,-0.04,-0.05,+0.31,https://fbref.com/en/players/f4797849/Koni-De-Winter,f4797849,Big 5 combined
807,Grégoire Defrel,MTQ,"FW,MF",Sassuolo,it Serie A,32-318,1991,19,712,37,23.3,7.9,0.89,72,0.00,1.52,18,0.63,0.84,1.01,1.65,-0.63,-0.63,+0.17,1.09,1.49,-0.42,-0.42,+0.26,https://fbref.com/en/players/854ee61a/Gregoire-Defrel,854ee61a,Big 5 combined
808,David Deger,GER,MF,Augsburg,de Bundesliga,24-077,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/9de65094/David-Deger,9de65094,Big 5 combined
809,Alessandro Deiola,ITA,MF,Cagliari,it Serie A,28-273,1995,22,1210,55,40.7,13.4,1.04,78,0.60,0.60,14,0.75,1.09,0.90,1.57,-0.67,-0.67,-0.11,1.17,1.26,-0.09,-0.09,+0.36,https://fbref.com/en/players/7f267d66/Alessandro-Deiola,7f267d66,Big 5 combined
810,Romain Del Castillo,FRA,FW,Brest,fr Ligue 1,28-032,1996,31,2448,79,87.7,27.2,1.07,82,0.11,0.07,29,0.00,1.81,1.65,1.14,0.51,+0.51,-0.01,1.46,1.13,0.33,+0.33,+0.31,https://fbref.com/en/players/0be95d34/Romain-Del-Castillo,0be95d34,Big 5 combined
811,Tommaso Del Lungo,ITA,DF,Atalanta,it Serie A,20-161,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/e0fbd23c/Tommaso-Del-Lungo,e0fbd23c,Big 5 combined
812,Thomas Delaine,FRA,"DF,MF",Strasbourg,fr Ligue 1,32-037,1992,25,1889,76,67.7,21.0,1.05,83,0.52,0.14,20,0.10,1.24,1.24,1.33,-0.10,-0.10,+0.70,1.21,1.26,-0.05,-0.05,-0.02,https://fbref.com/en/players/8332db56/Thomas-Delaine,8332db56,Big 5 combined
813,Sacha Delaye,FRA,"FW,MF",Montpellier,fr Ligue 1,22-007,2002,7,97,14,3.5,1.1,0.00,,0.00,6.36,14,15.5,1.00,0.91,0.00,0.91,+0.93,+1.09,2.27,1.09,1.18,+1.23,+1.22,https://fbref.com/en/players/e4448c8c/Sacha-Delaye,e4448c8c,Big 5 combined
814,Hannes Delcroix,BEL,DF,Burnley,eng Premier League,25-062,1999,12,589,49,18.7,6.5,0.77,86,0.62,1.08,23,1.54,0.67,0.92,3.85,-2.92,-2.90,-2.45,0.97,2.48,-1.51,-1.50,-0.98,https://fbref.com/en/players/b737f944/Hannes-Delcroix,b737f944,Big 5 combined
815,Alessandro Dellavalle,ITA,DF,Torino,it Serie A,19-355,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/227f25be/Alessandro-Dellavalle,227f25be,Big 5 combined
816,Olivier Deman,BEL,DF,Werder Bremen,de Bundesliga,24-024,2000,26,1329,51,47.6,14.8,0.95,82,0.47,0.81,15,0.07,1.31,1.69,1.76,-0.07,-0.07,+0.43,1.38,1.59,-0.21,-0.21,+0.19,https://fbref.com/en/players/13210854/Olivier-Deman,13210854,Big 5 combined
817,Ali Dembélé,FRA,DF,Torino,it Serie A,20-116,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/eb3df7d9/Ali-Dembele,eb3df7d9,Big 5 combined
818,Karamoko Dembele,SCO,"MF,FW",Brest,fr Ligue 1,21-068,2003,1,16,16,0.6,0.2,0.00,,0.00,5.00,16,10.0,0.00,0.00,0.00,0.00,0.00,-0.52,1.50,6.50,-5.00,-5.07,-5.39,https://fbref.com/en/players/7304f3b1/Karamoko-Dembele,7304f3b1,Big 5 combined
819,Ousmane Dembélé,FRA,"MF,FW",Paris S-G,fr Ligue 1,26-351,1997,25,1477,59,52.9,16.4,1.04,74,0.24,0.49,27,0.12,2.24,2.32,0.73,1.59,+1.58,+0.14,2.04,1.08,0.96,+0.96,+0.15,https://fbref.com/en/players/b19db005/Ousmane-Dembele,b19db005,Big 5 combined
820,Jessy Deminguet,FRA,"MF,FW",Strasbourg,fr Ligue 1,26-114,1998,18,690,38,24.7,7.7,1.17,68,0.26,1.17,9,1.56,1.33,0.91,1.56,-0.65,-0.65,-0.44,1.05,1.17,-0.12,-0.12,-0.10,https://fbref.com/en/players/a6138e4a/Jessy-Deminguet,a6138e4a,Big 5 combined
821,Ermedin Demirović,BIH,"FW,MF",Augsburg,de Bundesliga,26-036,1998,30,2604,87,93.3,28.9,1.04,87,0.73,0.00,,0.00,1.27,1.56,1.66,-0.10,-0.10,+0.38,1.34,1.52,-0.19,-0.19,+0.74,https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic,ed79b7d3,Big 5 combined
822,Diego Demme,GER,MF,Napoli,it Serie A,32-161,1991,2,73,37,2.4,0.8,1.25,59,0.00,1.25,14,16.3,2.00,1.25,0.00,1.25,+1.23,+0.99,1.00,0.13,0.75,+0.77,+0.13,https://fbref.com/en/players/dc3fa3b5/Diego-Demme,dc3fa3b5,Big 5 combined
823,Albin Demouchy,FRA,DF,Metz,fr Ligue 1,21-335,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/5941ffce/Albin-Demouchy,5941ffce,Big 5 combined
